City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,bubaque,11.2833,-15.8333,26.41,76,0,5.56,GW,1707174829
292,tympaki,35.0729,24.7685,12.98,65,3,3.15,GR,1707174829
293,bartica,6.4,-58.6167,27.18,77,100,2.87,GY,1707174830
294,la'ie,21.6477,-157.9253,26.98,62,22,4.02,US,1707174830
295,puerto baquerizo moreno,-0.9,-89.6,25.65,78,39,5.04,EC,1707174830
296,sefaatli,39.5043,34.7563,6.12,82,99,7.24,TR,1707174830
297,sterling,39.0062,-77.4286,8.01,54,0,3.6,US,1707174831
298,aleksandrov gay,50.147,48.5704,0.51,97,100,7.67,RU,1707174831
299,aquitania,5.5197,-72.8875,10.01,96,96,1.05,CO,1707174831
300,ciudad insurgentes,25.2625,-111.7753,24.93,29,97,6.29,MX,1707174831
301,pisco,-13.7,-76.2167,26.03,78,0,8.75,PE,1707174832
302,enoch,37.7733,-113.0244,11.14,44,40,9.26,US,1707174832
303,silifke,36.3778,33.9344,13.1,51,10,5.27,TR,1707174592
304,opuwo,-18.0607,13.84,22.08,83,100,1.88,NA,1707174833
305,touros,-5.1989,-35.4608,27.65,77,26,5.35,BR,1707174559
306,san patricio,28.017,-97.5169,18.92,58,81,6.11,US,1707174833
307,sinmak,38.4167,126.2333,-1.95,81,86,0.06,KP,1707174833
308,vilyuysk,63.7553,121.6247,-38.33,100,85,1.34,RU,1707174834
309,koryazhma,61.3143,47.1691,-21.72,99,100,1.13,RU,1707174834
310,nambucca heads,-30.65,153.0,30.56,65,64,3.75,AU,1707174834
311,port saint john's,-31.6229,29.5448,23.16,92,0,2.97,ZA,1707174834
312,curuca,-0.7289,-47.8481,24.53,95,39,2.38,BR,1707174835
313,vila velha,-20.3297,-40.2925,27.19,88,20,4.63,BR,1707174835
314,phan thiet,10.9333,108.1,22.18,83,58,2.93,VN,1707174835
315,acajutla,13.5928,-89.8275,28.57,60,15,4.67,SV,1707174756
316,lethem,3.3803,-59.7968,32.62,40,99,0.92,GY,1707174836
317,stephenville,32.2207,-98.2023,16.19,52,0,4.63,US,1707174582
318,barah,13.7,30.3667,16.32,18,12,5.14,SD,1707174836
319,kobelyaky,49.1489,34.1965,1.02,76,32,9.42,UA,1707174837
320,plettenberg bay,-34.0527,23.3716,20.38,94,17,3.12,ZA,1707174837
321,kota kinabalu,5.9749,116.0724,23.99,94,20,2.24,MY,1707174837
322,salalah,17.0151,54.0924,22.05,64,0,1.54,OM,1707174837
323,tres palos,18.1833,-101.6167,29.87,42,1,3.19,MX,1707174838
324,fredericksburg,38.3032,-77.4605,8.64,50,0,2.06,US,1707174427
325,college,64.8569,-147.8028,-12.89,77,40,0.0,US,1707174838
326,namibe,-15.1961,12.1522,25.0,79,97,3.77,AO,1707174838
327,christies beach,-35.1396,138.4698,20.5,60,10,4.02,AU,1707174839
328,charef,34.621,2.795,8.2,34,47,4.02,DZ,1707174839
329,saint-yrieix-la-perche,45.516,1.2057,4.27,99,62,0.28,FR,1707174799
330,namdrik,5.5994,168.1028,27.95,77,100,7.07,MH,1707174839
331,mezzouna,34.5776,9.8419,14.18,39,0,3.06,TN,1707174840
332,altamira,-3.2033,-52.2064,26.36,77,85,1.83,BR,1707174840
333,hotan,37.0997,79.9269,-3.87,89,93,1.11,CN,1707174840
334,garissa,-0.4536,39.6401,27.02,68,55,4.87,KE,1707174840
335,awjilah,29.1081,21.2869,13.19,78,1,3.69,LY,1707174841
336,ouarzazat,30.9189,-6.8934,11.16,22,0,1.54,MA,1707174841
337,coxen hole,16.3244,-86.5366,25.6,69,0,5.14,HN,1707174841
338,banjarmasin,-3.3244,114.591,26.08,95,98,0.59,ID,1707174842
339,mil'kovo,55.6078,37.7956,-3.27,79,100,3.31,RU,1707174842
340,salto de agua,17.6167,-92.3667,25.42,63,6,3.71,MX,1707174842
341,sabang,5.8933,95.3214,27.53,76,100,5.41,ID,1707174843
342,margate,51.3813,1.3862,11.06,76,100,5.36,GB,1707174843
343,heroica caborca,30.7167,-112.15,26.29,16,82,3.07,MX,1707174843
344,mehnagar,25.8833,83.1167,13.93,95,58,1.37,IN,1707174844
345,qaqortoq,60.7167,-46.0333,-21.15,70,0,2.87,GL,1707174844
346,oamaru,-45.0784,170.9801,21.88,54,100,2.32,NZ,1707174566
347,haiku-pauwela,20.9219,-156.3051,25.02,63,20,11.83,US,1707174844
348,tondano,1.3038,124.9112,21.05,82,96,0.54,ID,1707174845
349,anahuac,27.2333,-100.15,20.76,30,0,7.52,MX,1707174845
350,sao vicente,-23.9631,-46.3919,29.04,26,40,0.89,BR,1707174845
351,louhans,46.6667,5.1667,0.94,90,59,1.89,FR,1707174846
352,adelaide,-34.9333,138.6,19.53,58,20,5.14,AU,1707174172
353,gizo,-8.103,156.8419,28.27,81,98,6.24,SB,1707174846
354,mili,6.0815,171.735,27.5,73,94,7.59,MH,1707174846
355,ancud,-41.8697,-73.8203,16.16,83,89,3.35,CL,1707174847
356,kralendijk,12.15,-68.2667,27.99,83,0,5.14,BQ,1707174847
357,ceyrat,45.7318,3.0633,-0.65,100,40,1.03,FR,1707174847
358,buala,-8.145,159.5921,29.1,78,90,5.08,SB,1707174848
359,ocean city,39.2776,-74.5746,3.88,64,0,4.4,US,1707174700
